Designator,Footprint,Quantity,Value,LCSC Part #
C201,0402,1,100n 50V,C307331
"C202, C205, C206",0402,3,100n 16V,C1525
C203,0402,1,470p 50V,C1537
C204,0402,1,1u 25V,C52923
C207,CP_EIA-3216-18_Kemet-A,1,10u 16V,C7171
"C209, C210",0603,2,30p 50V,C1658
"C211, C212, C213, C214, C215",1206,5,1n 2kV,C9196
C217,0603,1,22n 50V,C21122
J201,Boomele RJ45-TH_B-1-1,1,RJ45-TH_B-1-1,C138392
L201,0805,1,600Ω@100MHz,C1017
"R201, R202, R203, R204",0603,4,49E9,C23185
"R206, R207, R208, R210, R214, R220",0603,6,10k,C25804
R209,0603,1,1k5,C22843
"R211, R212, R215, R219",0603,4,33,C23140
R216,0402,1,12k,C25752
R217,0402,1,100,C25076
"R222, R223",0603,2,270,C22966
"R224, R225, R226, R227",0603,4,75,C4275
TR201,YDS-Tech 11FB-05NL,1,YDS-Tech 11FB-05NL,C97692
U201,SOT-23-6,1,SRV05-4,C85364
U202,VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm_ThermalVias,1,LAN8742A,C621425
Y201,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,C9006
